Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
Panasonic VCR,Appliance,151889,55,2,5,1,0,4,21700,111856
Bose Speaker,Audio,134282,49,3,4,2,5,1,43800,96427
Asus ZenBook,Laptop,34031,29,3,1,2,4,2,30600,38271
HP Printer,Printer,44986,17,0,2,3,4,4,33700,51714
Sony PlayStation,Gaming Console,46794,58,1,4,4,0,5,23000,40044
LG Microwave,Appliance,82110,24,0,3,4,3,5,34000,77761
Dell Laptop,Laptop,77109,24,5,2,5,5,1,44300,66873
Lenovo Monitor,Monitor,75607,34,5,1,3,1,4,20700,59495
Sharp LED,TV,159954,15,5,5,3,0,0,24500,134615
Microsoft Xbox,Gaming Console,190353,42,1,4,5,5,3,47900,132451
Lenovo Monitor,Monitor,142636,16,0,4,2,1,4,23200,134267
HP Printer,Printer,82239,9,4,4,5,5,5,52500,81761
Sharp LED,TV,10525,53,5,5,4,1,5,35000,23131
MacBook Pro,Laptop,98227,50,5,2,3,5,5,44500,70381
Apple Watch,Wearable,60637,52,2,1,0,5,5,34000,53382
Microsoft Xbox,Gaming Console,138990,49,0,0,5,4,0,27500,93669
Xiaomi Tablet,Tablet,123061,14,4,2,2,4,2,34600,107135
Bose Speaker,Audio,177041,15,3,2,4,1,1,20800,145836
GoPro Camera,Camera,119151,36,1,0,5,0,3,10900,88856
Xiaomi Tablet,Tablet,45487,48,4,1,1,2,3,20900,38652
Sharp LED,TV,57354,54,0,1,5,4,2,32100,47595
Samsung TV,TV,100286,58,4,5,5,5,2,53100,69673
GoPro Camera,Camera,65069,8,0,2,1,3,0,22500,68511
Microsoft Xbox,Gaming Console,98595,47,1,2,4,1,4,21200,74194
Lenovo Monitor,Monitor,125507,53,4,4,0,1,3,23400,91397
Dell Laptop,Laptop,156942,43,0,2,4,1,0,17000,116005
Dell Laptop,Laptop,168690,15,0,3,4,2,3,27400,149495
Samsung Refrigerator,Appliance,32966,44,5,1,2,4,2,32600,34761
Philips Air Purifier,Appliance,95389,1,4,1,0,2,1,17800,92365
iPhone 13,Phone,70919,44,1,3,1,0,4,14700,59830
Bose Speaker,Audio,81523,26,0,1,2,4,4,29200,75742
Dell Laptop,Laptop,153982,32,2,4,4,1,1,25800,120687
Asus ZenBook,Laptop,143909,21,2,2,5,1,2,22100,116823
Microsoft Xbox,Gaming Console,104584,19,0,5,3,1,2,26100,99332
LG Microwave,Appliance,55342,16,1,5,3,1,1,26300,58530
GoPro Camera,Camera,135332,3,2,4,3,2,4,31700,130206
MacBook Pro,Laptop,6997,43,4,1,5,2,0,24500,16203
Philips Air Purifier,Appliance,179247,50,4,5,5,5,4,54700,111596
Bose Speaker,Audio,92648,26,2,1,4,3,0,26000,76927
HP Printer,Printer,85287,2,4,1,4,4,1,33800,80865
Canon DSLR,Camera,162553,8,3,2,0,2,0,19000,149296
MacBook Pro,Laptop,7367,15,2,5,5,2,0,34500,22738
Bose Speaker,Audio,140340,42,3,5,4,5,0,49000,101687
Canon DSLR,Camera,133399,16,5,0,1,4,3,28900,110497
HP Printer,Printer,90548,46,5,1,3,5,0,37500,64929
Apple Watch,Wearable,24536,40,1,5,2,0,4,22200,29257
Philips Air Purifier,Appliance,27595,39,2,1,1,0,3,8900,25008
Sony PlayStation,Gaming Console,103906,17,1,4,5,5,3,47900,96165
iPhone 13,Phone,5948,58,1,4,2,2,5,30000,18628
MacBook Pro,Laptop,125844,15,1,4,3,1,5,26500,117071
Samsung TV,TV,109897,3,1,0,4,5,1,32800,102669
Panasonic VCR,Appliance,191943,49,0,2,4,3,2,28600,132345
Samsung TV,TV,15727,38,4,2,5,1,0,22500,20843
iPhone 13,Phone,147235,42,0,1,5,0,4,13700,108442
Apple Watch,Wearable,23394,29,2,5,5,2,0,34500,33041
Xiaomi Tablet,Tablet,144709,40,2,1,5,3,3,29900,101775
Lenovo Monitor,Monitor,148003,14,0,2,5,4,5,37500,129752
Samsung TV,TV,23790,43,5,2,4,5,0,42000,33014
MacBook Pro,Laptop,100015,38,1,4,4,2,3,31400,82710
MacBook Pro,Laptop,55943,23,3,0,0,2,0,13000,50415
Dell Laptop,Laptop,130479,34,4,4,3,4,1,41300,100242
Dell Laptop,Laptop,130915,38,4,1,2,4,0,30000,94858
MacBook Pro,Laptop,144836,19,0,3,2,2,1,22800,130890
LG Microwave,Appliance,149701,36,5,4,2,5,3,47400,110527
Dell Laptop,Laptop,106882,51,4,4,5,5,1,49300,74350
iPhone 13,Phone,145906,44,2,1,3,0,2,11100,104766
Asus ZenBook,Laptop,98437,51,1,4,3,5,2,44100,77667
Samsung TV,TV,116665,58,5,1,4,1,2,20600,69799
Samsung Refrigerator,Appliance,102445,2,5,2,3,4,5,39500,96584
Dell Laptop,Laptop,100178,25,2,0,2,5,2,31600,85424
Philips Air Purifier,Appliance,77643,17,0,5,4,2,1,31800,77626
HP Printer,Printer,10603,58,0,5,1,2,0,26500,20142
Apple Watch,Wearable,12028,24,4,1,1,2,1,19300,18551
Samsung TV,TV,83580,46,0,1,5,3,2,27100,64534
Dell Laptop,Laptop,164731,14,0,3,3,3,1,29300,148082
Panasonic VCR,Appliance,42932,49,4,2,4,4,2,37600,40910
Asus ZenBook,Laptop,134696,23,1,4,2,2,2,27600,119536
Sony Headphones,Audio,17410,40,3,3,1,5,5,42500,32044
LG Microwave,Appliance,197593,28,0,3,5,3,1,32300,154465
Samsung Refrigerator,Appliance,53506,40,4,2,2,4,0,33000,48604
Panasonic VCR,Appliance,145078,51,5,2,5,2,3,30900,88714
Philips Air Purifier,Appliance,87441,27,3,4,5,5,5,51500,78652
Apple Watch,Wearable,188091,12,4,5,2,2,4,35200,164311
LG Microwave,Appliance,109713,52,5,3,1,3,4,33700,78289
Philips Air Purifier,Appliance,175365,48,3,4,3,1,3,26900,122176
Philips Air Purifier,Appliance,34031,42,4,3,0,3,3,30400,37320
Philips Air Purifier,Appliance,15178,11,5,4,0,1,4,25200,25122
Lenovo Monitor,Monitor,40560,21,3,1,3,5,4,38700,46728
Canon DSLR,Camera,39970,56,3,4,5,0,3,24900,34833
Samsung TV,TV,151230,42,2,5,1,3,5,37500,120074
Xiaomi Tablet,Tablet,12125,21,2,3,4,5,1,42800,29584
Bose Speaker,Audio,82077,32,5,0,2,5,2,34600,66546
Sony PlayStation,Gaming Console,18626,57,3,1,5,1,2,20100,20015
Lenovo Monitor,Monitor,166836,46,3,5,1,1,5,28500,126030
LG Microwave,Appliance,163093,25,4,2,0,1,4,18200,135497
HP Printer,Printer,52298,33,2,2,0,3,5,27000,51939
Sony Headphones,Audio,173633,9,3,3,1,3,2,30100,156561
Dell Laptop,Laptop,95438,3,5,4,3,5,0,46500,92443
Microsoft Xbox,Gaming Console,100142,55,0,0,1,0,2,3100,72150
HP Printer,Printer,176223,25,2,0,1,2,4,16700,144923
Sharp LED,TV,20827,6,1,0,3,3,2,22100,28336
Apple Watch,Wearable,127839,60,5,3,4,1,4,28200,78020
Samsung TV,TV,114753,9,2,1,5,4,1,33300,100993
Sony PlayStation,Gaming Console,20474,34,3,1,3,1,4,18700,23477
Xiaomi Tablet,Tablet,149021,15,2,5,4,0,0,23000,131462
Asus ZenBook,Laptop,12469,3,0,2,3,2,5,24500,23285
Panasonic VCR,Appliance,146547,40,1,4,4,2,5,33000,113221
HP Printer,Printer,24420,54,4,4,1,0,4,20700,25735
MacBook Pro,Laptop,162230,26,0,5,4,0,2,22600,139462
Philips Air Purifier,Appliance,7297,11,1,0,1,2,1,13300,12962
Samsung TV,TV,197949,57,4,0,5,2,1,22300,109135
Samsung Refrigerator,Appliance,54474,2,0,0,3,5,0,29500,59963
Samsung Refrigerator,Appliance,180406,16,5,0,2,3,5,27000,143392
LG Microwave,Appliance,111843,53,2,5,1,4,5,42500,87797
iPhone 13,Phone,199811,54,2,4,0,5,4,42200,138988
GoPro Camera,Camera,105327,34,1,1,4,4,0,30000,83463
Bose Speaker,Audio,49647,38,2,4,1,0,3,17900,46185
Asus ZenBook,Laptop,22403,39,4,0,5,5,5,40500,32012
Lenovo Monitor,Monitor,163881,58,2,1,4,5,0,36000,98302
iPhone 13,Phone,150965,5,2,2,1,2,5,23500,143844
GoPro Camera,Camera,178683,33,4,0,3,2,5,22500,128287
Lenovo Monitor,Monitor,17426,34,0,1,1,3,2,21100,23620
Philips Air Purifier,Appliance,161416,47,4,1,2,5,4,38200,107072
HP Printer,Printer,193579,54,0,2,3,2,3,22900,133405
Apple Watch,Wearable,181516,31,0,3,2,3,2,28600,149529
Samsung Refrigerator,Appliance,78621,48,1,1,2,2,3,19400,61590
GoPro Camera,Camera,11762,30,2,5,1,3,0,33500,25336
Bose Speaker,Audio,110830,23,3,2,4,5,4,43200,93085
Sony Headphones,Audio,89146,37,2,5,0,2,4,30200,80622
Sharp LED,TV,173989,3,3,5,3,3,0,37500,158811
Sony Headphones,Audio,130817,20,5,3,0,2,0,24000,111421
HP Printer,Printer,33087,52,1,5,2,0,3,21400,33199
GoPro Camera,Camera,83691,36,2,0,5,2,3,21900,64512
Panasonic VCR,Appliance,180643,53,2,5,0,1,3,24400,134134
Microsoft Xbox,Gaming Console,92629,29,1,3,1,5,5,40500,86480
Panasonic VCR,Appliance,178737,53,3,1,3,4,1,31300,111274
Lenovo Monitor,Monitor,112779,10,4,5,1,4,5,44500,109090
Asus ZenBook,Laptop,107546,18,3,3,2,2,4,28200,96910
Asus ZenBook,Laptop,161318,23,4,5,4,2,2,36600,128803
MacBook Pro,Laptop,26008,9,1,2,2,2,3,22400,33437
Sharp LED,TV,8173,58,1,3,3,2,0,24500,17072
Bose Speaker,Audio,78324,16,2,1,0,4,0,25000,75159
Panasonic VCR,Appliance,126834,40,1,4,4,0,0,19000,98284
Samsung TV,TV,58993,32,3,3,4,4,0,38000,55576
Philips Air Purifier,Appliance,118980,26,1,1,2,1,0,12000,99994
LG Microwave,Appliance,133987,20,5,4,0,1,3,24400,116710
Sharp LED,TV,181766,41,5,3,4,1,1,25800,121051
HP Printer,Printer,128070,54,1,3,0,2,4,23200,97407
GoPro Camera,Camera,38228,27,1,3,5,2,1,28300,41101
Asus ZenBook,Laptop,27570,33,1,4,0,4,2,34600,37564
MacBook Pro,Laptop,157522,53,2,0,0,3,5,21000,110526
Asus ZenBook,Laptop,62764,58,3,3,3,4,0,36500,50260
Bose Speaker,Audio,175707,55,0,1,0,3,1,18800,126245
Bose Speaker,Audio,96302,56,3,0,5,4,2,32100,62275
Asus ZenBook,Laptop,164097,27,2,0,2,5,2,31600,128206
Canon DSLR,Camera,117397,53,0,2,5,1,1,19300,81849
Sony PlayStation,Gaming Console,56897,36,3,2,1,3,2,27100,52240
Asus ZenBook,Laptop,65061,54,1,0,5,0,0,8500,43937
Samsung TV,TV,198546,38,1,1,1,3,0,20500,151218
HP Printer,Printer,86133,12,5,5,0,0,1,20800,82752
Xiaomi Tablet,Tablet,125191,25,2,2,5,5,0,40500,99746
MacBook Pro,Laptop,22140,51,1,4,4,1,3,26400,27038
Philips Air Purifier,Appliance,135832,26,3,2,3,0,4,16700,110224
Samsung TV,TV,101666,58,5,2,4,5,1,42800,65116
Philips Air Purifier,Appliance,58455,45,4,4,3,2,0,30500,50031
LG Microwave,Appliance,59636,46,0,3,3,5,1,39300,56028
Sharp LED,TV,12885,42,5,3,3,1,4,26700,21210
HP Printer,Printer,20444,35,5,1,1,4,1,30300,27928
Dell Laptop,Laptop,17726,31,2,1,2,4,5,32000,28142
GoPro Camera,Camera,157936,46,2,3,0,0,4,14200,122393
Asus ZenBook,Laptop,53765,25,4,0,3,0,2,10100,44567
Lenovo Monitor,Monitor,60915,57,4,2,4,3,3,33400,46853
Philips Air Purifier,Appliance,33651,41,2,5,2,0,5,24000,36060
Xiaomi Tablet,Tablet,132517,52,2,3,5,1,2,25100,89410
Canon DSLR,Camera,83353,49,5,2,2,1,3,21400,60295
Panasonic VCR,Appliance,192509,30,0,5,2,0,5,22000,166932
Canon DSLR,Camera,19446,26,2,0,2,4,2,26600,27107
LG Microwave,Appliance,58310,40,0,3,0,4,5,33000,58483
HP Printer,Printer,198981,36,1,3,0,4,1,30800,158666
Samsung TV,TV,56586,10,2,4,1,4,3,37900,64785
Lenovo Monitor,Monitor,29915,11,0,0,0,3,1,15800,34375
Dell Laptop,Laptop,74540,4,1,3,1,3,4,29700,80445
Canon DSLR,Camera,55525,15,5,4,2,0,4,23200,55187
Samsung Refrigerator,Appliance,188355,7,0,3,5,3,3,33900,168576
GoPro Camera,Camera,118171,6,0,2,2,5,2,35600,115882
Samsung Refrigerator,Appliance,198029,45,3,1,0,2,2,17600,142470
Sony PlayStation,Gaming Console,121982,44,5,4,1,2,1,29300,90279
Lenovo Monitor,Monitor,34596,46,3,0,0,0,2,4600,26863
Dell Laptop,Laptop,84967,33,5,1,4,2,5,28000,66255
Sony PlayStation,Gaming Console,148356,23,0,5,3,1,4,27700,133277
Canon DSLR,Camera,94338,59,0,0,2,0,3,5400,65435
Samsung Refrigerator,Appliance,196220,16,1,4,2,3,3,33400,173676
Dell Laptop,Laptop,126555,46,0,0,5,5,1,33300,88786
Xiaomi Tablet,Tablet,12278,43,5,2,2,1,2,20600,17974
Apple Watch,Wearable,159529,37,3,5,2,5,2,47600,121910
Bose Speaker,Audio,169891,47,2,5,3,0,5,25500,125728
Xiaomi Tablet,Tablet,40066,16,3,2,3,4,5,37500,47598
Sony Headphones,Audio,31549,37,4,3,2,0,0,16000,29927
Sharp LED,TV,7333,36,2,2,4,2,3,26400,18040
Panasonic VCR,Appliance,148378,47,1,2,1,2,5,22500,112889
Panasonic VCR,Appliance,32711,5,2,3,0,3,2,27600,42422
Dell Laptop,Laptop,164796,7,3,3,4,2,5,32000,145365
Samsung TV,TV,93681,1,2,0,1,4,2,25100,92647
Dell Laptop,Laptop,185247,20,4,0,4,5,0,35000,136058
Sony PlayStation,Gaming Console,50141,48,4,5,5,4,5,50500,50320
Sony PlayStation,Gaming Console,157398,38,2,5,4,1,1,28800,119857
Xiaomi Tablet,Tablet,98981,47,2,1,5,0,0,12500,68113
Samsung TV,TV,133780,32,1,3,0,3,2,26600,114973
Asus ZenBook,Laptop,137493,56,3,1,5,1,3,20900,84696
Sony Headphones,Audio,170892,30,4,5,2,2,4,35200,135515
Samsung TV,TV,44957,52,3,5,3,0,0,22500,39123
Microsoft Xbox,Gaming Console,83422,12,3,5,5,2,0,35500,79482
Philips Air Purifier,Appliance,134061,60,1,3,0,2,5,24000,97799
Sony PlayStation,Gaming Console,89632,35,1,2,1,2,5,22500,78026
Dell Laptop,Laptop,164507,10,3,1,4,3,4,30200,138480
Samsung Refrigerator,Appliance,50174,29,3,4,2,3,2,34600,52171
Sony PlayStation,Gaming Console,3618,7,1,5,4,1,3,29400,17757
Samsung Refrigerator,Appliance,3652,39,3,3,1,5,0,38500,21532
Dell Laptop,Laptop,16737,5,4,5,1,3,4,38700,32991
Bose Speaker,Audio,52518,46,1,2,3,3,3,28900,47536
Apple Watch,Wearable,19465,49,2,0,1,2,4,16700,21100
iPhone 13,Phone,17142,45,1,4,5,0,0,20500,21478
iPhone 13,Phone,97061,27,4,3,0,5,4,41200,87087
Apple Watch,Wearable,190519,54,2,4,1,5,4,43700,130446
Asus ZenBook,Laptop,131335,3,3,1,5,3,3,30900,115921
MacBook Pro,Laptop,75669,42,4,5,2,2,3,34400,64871
Sharp LED,TV,91213,15,2,2,2,4,0,31000,85278
MacBook Pro,Laptop,193435,22,0,5,5,3,0,37500,159958
Dell Laptop,Laptop,78590,15,0,5,5,4,3,44900,81000
Sony Headphones,Audio,120804,18,5,2,5,1,1,24300,95505
Asus ZenBook,Laptop,59538,11,3,1,1,3,1,23300,59578
Samsung Refrigerator,Appliance,153748,56,0,0,2,1,4,11200,107074
LG Microwave,Appliance,153642,7,3,2,5,4,5,40500,131640
Microsoft Xbox,Gaming Console,120792,41,3,3,4,4,4,41200,90055
Samsung Refrigerator,Appliance,134643,19,5,4,0,3,1,32800,116709
MacBook Pro,Laptop,184700,40,3,0,1,2,0,14500,132846
Sony PlayStation,Gaming Console,91121,11,5,2,2,5,0,39000,83740
GoPro Camera,Camera,126894,9,1,4,5,5,1,46300,116417
Dell Laptop,Laptop,23863,41,0,1,1,0,2,6100,21544
Sony PlayStation,Gaming Console,30751,33,0,3,1,3,3,27900,37167
LG Microwave,Appliance,135148,54,1,4,0,2,4,26200,103649
Samsung TV,TV,179715,15,1,3,2,1,4,21200,162459
Samsung Refrigerator,Appliance,194951,2,5,1,1,5,1,35300,167762
Microsoft Xbox,Gaming Console,177883,33,0,2,5,5,0,38500,132206
HP Printer,Printer,124979,22,0,0,3,4,5,28500,107984
Samsung Refrigerator,Appliance,67068,49,2,1,3,4,3,31900,54514
Samsung TV,TV,181716,11,1,5,5,0,1,24300,162066
Dell Laptop,Laptop,153484,26,1,4,4,4,1,39800,125804
Bose Speaker,Audio,42867,30,1,5,4,5,0,47000,51364
Bose Speaker,Audio,76023,27,5,2,2,0,5,18000,64117
Microsoft Xbox,Gaming Console,171350,19,4,0,2,5,3,34400,134575
Sony Headphones,Audio,195963,50,0,2,3,0,5,14500,142464
Panasonic VCR,Appliance,106045,32,4,1,4,0,0,13000,78611
Samsung TV,TV,75111,43,4,1,4,4,1,33800,57835
Microsoft Xbox,Gaming Console,91709,4,5,0,4,2,5,25000,82199
Sony PlayStation,Gaming Console,192715,29,5,3,4,0,0,20000,140083
Samsung Refrigerator,Appliance,127104,3,2,2,1,4,1,30300,122553
HP Printer,Printer,198660,45,5,0,3,4,1,30300,121433
Microsoft Xbox,Gaming Console,42103,4,4,3,5,2,5,34500,49248
Samsung Refrigerator,Appliance,160874,42,2,5,3,2,5,35500,122318
MacBook Pro,Laptop,99535,8,2,4,2,3,5,36000,99619
Microsoft Xbox,Gaming Console,114051,53,3,5,3,2,3,34900,83029
Panasonic VCR,Appliance,57251,23,0,0,3,5,5,33500,58257
Canon DSLR,Camera,9578,35,4,4,3,2,1,31300,21828
iPhone 13,Phone,167339,32,4,4,3,0,5,24500,129387
Dell Laptop,Laptop,181492,22,3,3,2,2,3,27400,149819
iPhone 13,Phone,4919,8,5,5,3,0,2,26100,16985
Xiaomi Tablet,Tablet,182519,49,2,5,5,3,3,41900,122248
Samsung TV,TV,149491,32,5,0,0,5,1,30800,111074
Canon DSLR,Camera,21678,13,2,0,5,0,4,12700,23584
Sony Headphones,Audio,38672,15,1,1,0,1,3,11400,39925
Sharp LED,TV,176041,27,4,1,1,2,5,22500,138880
Xiaomi Tablet,Tablet,23514,39,5,5,3,5,3,51900,38765
Bose Speaker,Audio,134876,47,5,3,2,0,5,21000,94798
GoPro Camera,Camera,159153,4,2,0,4,5,4,36200,139056
Canon DSLR,Camera,19553,26,4,0,2,3,5,26000,26492
Lenovo Monitor,Monitor,46331,31,1,1,5,3,4,29700,45660
Sony Headphones,Audio,166030,27,2,1,0,5,1,30800,135772
iPhone 13,Phone,168815,28,5,5,1,2,2,33100,134720
HP Printer,Printer,28564,4,0,5,5,1,4,30700,39915
Dell Laptop,Laptop,141392,18,3,4,0,0,5,19000,129683
MacBook Pro,Laptop,39182,9,3,1,2,0,2,10600,38801
Bose Speaker,Audio,189913,13,4,0,1,2,4,18700,160331
Asus ZenBook,Laptop,85780,18,4,2,4,5,1,41800,76657
Sharp LED,TV,197963,11,5,4,2,1,3,27400,169101
Samsung Refrigerator,Appliance,8574,23,4,0,1,2,5,19500,16138
MacBook Pro,Laptop,158543,48,5,0,2,1,0,13000,101626
LG Microwave,Appliance,132691,21,0,4,1,3,4,31700,123993
HP Printer,Printer,9048,13,2,2,1,3,0,24500,19624
Canon DSLR,Camera,70832,51,2,3,2,3,0,29000,57353
GoPro Camera,Camera,71895,1,4,0,3,5,1,34300,71431
Philips Air Purifier,Appliance,133034,50,4,0,5,1,1,17300,81819
Philips Air Purifier,Appliance,136969,4,5,0,4,0,3,13400,116275
Bose Speaker,Audio,102603,7,3,0,2,4,0,26000,93543
GoPro Camera,Camera,126889,30,3,5,2,5,0,46000,105478
Philips Air Purifier,Appliance,129349,46,4,3,0,2,1,23800,95977
Sony PlayStation,Gaming Console,53320,4,0,0,4,5,0,31000,58156
iPhone 13,Phone,71486,4,5,0,0,2,5,19000,69548
Xiaomi Tablet,Tablet,133672,41,5,5,4,4,0,46000,94515
Sharp LED,TV,78317,29,4,3,2,5,5,45000,72231
Lenovo Monitor,Monitor,3192,31,0,4,0,2,0,22000,13570
Sony PlayStation,Gaming Console,29933,55,2,1,1,4,1,27300,31161
Dell Laptop,Laptop,18456,10,1,2,3,0,1,12300,22207
Samsung Refrigerator,Appliance,128877,24,3,2,2,3,2,28600,107091
Samsung TV,TV,19685,60,2,2,3,4,3,34900,27686
GoPro Camera,Camera,174709,23,3,3,1,4,3,35900,144614
Philips Air Purifier,Appliance,136932,22,4,1,1,4,5,32500,113472
Canon DSLR,Camera,7450,55,3,2,4,3,2,31600,19711
Panasonic VCR,Appliance,46539,29,2,1,1,3,1,22300,45356
Microsoft Xbox,Gaming Console,53030,20,1,2,3,3,1,27300,53953
MacBook Pro,Laptop,74203,54,3,3,3,3,2,33100,57362
MacBook Pro,Laptop,67550,25,0,4,5,0,3,21900,63301
HP Printer,Printer,14305,11,1,1,0,5,3,31400,27502
LG Microwave,Appliance,11641,11,5,0,3,0,4,12700,15488
iPhone 13,Phone,71400,52,2,5,1,2,1,29300,60346
GoPro Camera,Camera,181059,26,5,3,0,4,2,35600,142731
Canon DSLR,Camera,125453,37,2,2,4,4,1,34800,94554
LG Microwave,Appliance,28539,31,3,0,4,5,1,34800,34666
MacBook Pro,Laptop,8834,22,0,5,1,2,1,27300,20982
Apple Watch,Wearable,121741,2,4,2,4,3,4,34200,110841
LG Microwave,Appliance,90616,38,3,5,1,1,5,28500,78587
iPhone 13,Phone,112096,25,3,2,2,0,5,16000,94874
Asus ZenBook,Laptop,106944,57,1,5,2,1,0,24000,79909
MacBook Pro,Laptop,172625,39,0,4,1,3,2,30100,140203
GoPro Camera,Camera,57790,38,3,2,0,0,4,12200,49442
Panasonic VCR,Appliance,11454,55,1,1,2,5,1,32800,22872
Sharp LED,TV,159822,45,5,0,5,5,0,37500,94665
Samsung TV,TV,23542,11,2,3,3,3,0,30500,33730
Samsung TV,TV,137132,11,3,2,5,2,4,29700,117013
Sony Headphones,Audio,125440,37,2,0,5,4,4,32700,90987
Bose Speaker,Audio,122997,44,0,4,5,4,4,42700,95148
Lenovo Monitor,Monitor,11523,45,5,2,5,3,3,35900,23884
Bose Speaker,Audio,7904,19,3,0,4,4,1,29800,20314
Sharp LED,TV,44887,55,0,4,2,5,0,40000,46259
MacBook Pro,Laptop,96281,14,2,1,2,0,4,11200,87439
Lenovo Monitor,Monitor,111036,19,4,0,0,5,0,29000,95001
Samsung Refrigerator,Appliance,115517,24,2,2,0,2,4,21200,103014
Sharp LED,TV,176436,46,1,3,1,4,0,31500,130433
iPhone 13,Phone,167230,21,3,5,5,0,3,27900,136864
Sony Headphones,Audio,16605,5,0,1,1,5,3,31900,30147
Sony Headphones,Audio,82589,53,5,5,4,2,1,36800,60933
MacBook Pro,Laptop,7467,4,5,2,2,4,4,37200,24275
LG Microwave,Appliance,32088,17,0,4,3,5,2,43100,45776
Apple Watch,Wearable,93222,19,4,4,1,1,0,22500,84429
Microsoft Xbox,Gaming Console,29538,56,5,2,5,5,5,47500,36156
Microsoft Xbox,Gaming Console,164663,46,2,4,1,5,4,43700,122294
Panasonic VCR,Appliance,110933,53,4,2,0,4,3,32400,79986
Sony Headphones,Audio,12080,25,0,0,2,0,0,3000,11587
Sony PlayStation,Gaming Console,141345,13,0,1,4,3,3,26400,125569
Dell Laptop,Laptop,77709,40,1,4,5,2,5,34500,66984
GoPro Camera,Camera,71537,36,4,5,1,3,1,36300,65364
LG Microwave,Appliance,93425,36,4,4,1,2,5,31500,79279
Sony PlayStation,Gaming Console,136873,49,0,1,2,2,5,20000,102389
Samsung TV,TV,104273,57,2,0,4,1,2,14600,67257
Sony PlayStation,Gaming Console,172294,3,4,4,4,4,1,42800,149759
Sharp LED,TV,167626,41,1,5,5,1,2,30100,124845
Dell Laptop,Laptop,120819,17,2,3,2,2,3,26400,109251
MacBook Pro,Laptop,107835,41,3,3,0,5,3,39400,88175
Sharp LED,TV,182947,23,2,5,1,1,1,24300,159422
MacBook Pro,Laptop,87186,26,5,2,0,0,3,13400,73833
iPhone 13,Phone,102817,1,1,0,4,1,2,13600,96765
HP Printer,Printer,18018,1,1,2,3,2,5,25500,28516
Philips Air Purifier,Appliance,25020,23,3,5,5,4,0,45500,38888
Bose Speaker,Audio,28541,29,1,5,3,4,1,41300,40486
Dell Laptop,Laptop,61404,19,0,1,0,1,3,10400,59543
GoPro Camera,Camera,166989,15,4,5,1,1,3,27900,148376
Sony PlayStation,Gaming Console,142572,18,1,3,5,4,2,39100,120776
Canon DSLR,Camera,17139,1,0,0,4,3,2,22600,25954
GoPro Camera,Camera,3159,47,1,3,5,1,2,24100,14024
Sony Headphones,Audio,197384,41,0,3,5,2,0,26500,142537
GoPro Camera,Camera,144208,59,1,3,0,4,5,34000,104246
Samsung Refrigerator,Appliance,135548,23,0,0,3,4,1,25300,113633
Philips Air Purifier,Appliance,164030,34,0,5,3,4,3,41900,134131
Canon DSLR,Camera,154124,20,3,1,2,4,4,32200,127069
Samsung TV,TV,93852,17,3,5,5,4,0,45500,86100
Philips Air Purifier,Appliance,168976,30,0,5,1,4,0,36500,144982
Xiaomi Tablet,Tablet,143155,17,0,1,1,1,1,10300,130411
Bose Speaker,Audio,48421,6,4,5,1,2,4,33700,57039
Lenovo Monitor,Monitor,34914,59,3,2,2,0,2,13600,27923
Philips Air Purifier,Appliance,132460,47,5,1,3,1,5,21500,88239
Asus ZenBook,Laptop,126232,33,1,2,0,4,1,27800,106681
Samsung TV,TV,119941,1,5,5,3,2,5,38500,114603
Sharp LED,TV,112178,46,0,0,3,5,1,30300,83579
Dell Laptop,Laptop,149521,20,1,3,0,2,4,23200,137198
Samsung TV,TV,20863,13,1,1,2,1,4,15200,25438
MacBook Pro,Laptop,131839,15,3,2,5,2,2,28100,109633
Sony PlayStation,Gaming Console,145757,46,1,3,5,1,4,25700,104677
Samsung Refrigerator,Appliance,170617,11,5,2,3,3,5,34500,140947
Philips Air Purifier,Appliance,143306,25,3,4,2,1,5,27000,121696
Sony Headphones,Audio,20177,19,5,3,3,5,5,47500,36764
MacBook Pro,Laptop,137250,28,4,2,1,1,1,17300,110215
Lenovo Monitor,Monitor,63607,5,5,3,5,0,2,23100,60845
Microsoft Xbox,Gaming Console,117550,32,0,4,4,4,5,42000,100934
Sharp LED,TV,7880,2,3,0,4,1,4,17200,15140
Dell Laptop,Laptop,150704,26,3,2,3,2,2,25100,119550
Samsung Refrigerator,Appliance,117394,57,3,0,5,4,3,32900,72212
LG Microwave,Appliance,126970,18,3,0,4,5,2,35600,102870
Canon DSLR,Camera,170944,35,2,2,3,1,5,21500,131266
iPhone 13,Phone,138821,49,3,4,2,5,5,47000,100546
Canon DSLR,Camera,136051,54,5,3,0,2,4,27200,93870
Lenovo Monitor,Monitor,4930,36,4,2,3,2,1,25300,15805
Xiaomi Tablet,Tablet,68298,13,5,4,1,5,5,47500,72583
Bose Speaker,Audio,101744,54,0,1,2,0,5,10000,75203
Samsung TV,TV,137110,17,2,0,2,1,4,13200,118345
Sony Headphones,Audio,195104,60,2,2,4,0,2,15600,120960
HP Printer,Printer,124984,35,0,5,4,3,2,37600,104414
Canon DSLR,Camera,26257,29,1,4,0,1,2,19600,31199
Lenovo Monitor,Monitor,84989,49,5,3,2,0,1,17800,61168
Philips Air Purifier,Appliance,25638,23,3,4,0,3,0,30000,34613
